"Item Name","Count","Quality Issue","Quantity Issue","Taste Issue","Packaging Issue","Delivery Timing Issue","Price Issue","Cooking Issue","Freshness Issue","Staleness Issue","Hardness Issue","Spice Issue","Temperature Issue","Wrong Food Issue","Hygiene Issue","Missing Food Issue","Oiliness Issue","Out of Stock Issue","Foreign Object Issue","Top Issues"
"Side of Onion Rings",13,750,300,450,0,100,200,0,0,0,0,0,0,400,100,300,0,0,100,"quality_issue, taste_issue, wrong_food_issue, quantity_issue, missing_food_issue, price_issue, delivery_timing_issue, hygiene_issue, foreign_object_issue"
"Add Extra Cheese",1,100,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,"quality_issue, quantity_issue, price_issue"
"Frings (half fries, half onion rings)",5,400,200,200,0,0,300,100,0,0,100,0,0,0,0,0,0,0,0,"quality_issue, price_issue, quantity_issue, taste_issue, cooking_issue, hardness_issue"
"Coca-Cola",9,700,300,300,0,0,400,0,0,100,100,0,0,100,0,0,0,0,100,"quality_issue, price_issue, quantity_issue, taste_issue, staleness_issue, hardness_issue, wrong_food_issue, foreign_object_issue"
"The Philly",3,50,0,100,0,200,0,0,0,0,0,0,0,200,0,0,0,0,0,"delivery_timing_issue, wrong_food_issue, taste_issue, quality_issue"
"Me and a Friend Combo",4,200,100,100,0,100,100,100,0,0,0,0,0,200,0,0,0,0,0,"quality_issue, wrong_food_issue, quantity_issue, taste_issue, delivery_timing_issue, price_issue, cooking_issue"
"Side of Mac n(@single_quotes@) Cheese Wedges",5,400,300,300,0,100,100,0,0,100,0,0,100,100,0,0,0,0,0,"quality_issue, quantity_issue, taste_issue, delivery_timing_issue, price_issue, staleness_issue, temperature_issue, wrong_food_issue"
"Cookie",2,100,100,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,"quality_issue, quantity_issue, taste_issue, missing_food_issue"
"Side of Ketchup",4,300,200,100,0,100,100,100,0,0,100,0,0,0,0,0,0,0,0,"quality_issue, quantity_issue, taste_issue, delivery_timing_issue, price_issue, cooking_issue, hardness_issue"
"The Cheesehead",10,750,300,250,0,200,0,0,0,0,0,0,0,300,100,100,0,0,200,"quality_issue, quantity_issue, wrong_food_issue, taste_issue, delivery_timing_issue, foreign_object_issue, hygiene_issue, missing_food_issue"
"Side of Ranch",7,550,200,250,0,100,200,100,50,0,100,0,200,100,100,0,0,0,100,"quality_issue, taste_issue, quantity_issue, price_issue, temperature_issue, delivery_timing_issue, cooking_issue, hardness_issue, wrong_food_issue, hygiene_issue, foreign_object_issue, freshness_issue"
"Remove Pickle",2,100,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,"quality_issue, hardness_issue, wrong_food_issue"
"Daddy Party Combo",1,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"quality_issue, taste_issue"
"The Pizza Steak",3,200,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"quality_issue, taste_issue"
"Remove Sauerkraut",3,200,100,100,0,200,0,0,0,0,0,0,0,200,0,0,0,0,0,"quality_issue, delivery_timing_issue, wrong_food_issue, quantity_issue, taste_issue"
"Remove Lettuce",1,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"quality_issue, taste_issue"
"Add Extra white American cheese",3,300,0,100,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,"quality_issue, taste_issue, hardness_issue, wrong_food_issue"
"Remove white American cheese",1,100,100,100,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,"quality_issue, quantity_issue, taste_issue, price_issue, staleness_issue"
"Grilled Onion",1,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"quality_issue, taste_issue"
"The Mac n(@single_quotes@) Meatball",2,100,100,50,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,"quality_issue, quantity_issue, taste_issue, spice_issue"
"Pop(@single_quotes@)s Combo",5,50,0,50,0,200,100,0,0,0,0,50,100,0,0,100,0,0,0,"delivery_timing_issue, price_issue, temperature_issue, missing_food_issue, quality_issue, taste_issue, spice_issue"
"Pop(@single_quotes@)s Original",3,200,200,0,0,0,200,0,0,0,0,0,100,100,0,0,0,0,0,"quality_issue, quantity_issue, price_issue, temperature_issue, wrong_food_issue"
"The Wake n(@single_quotes@) Bake Burrito",7,500,400,100,0,100,200,0,0,0,0,0,0,300,100,100,0,0,100,"quality_issue, quantity_issue, wrong_food_issue, price_issue, taste_issue, delivery_timing_issue, hygiene_issue, missing_food_issue, foreign_object_issue"
"The Wake n(@single_quotes@) Bake Bowl",3,200,100,100,0,0,200,0,0,0,0,0,0,300,0,0,0,0,0,"wrong_food_issue, quality_issue, price_issue, quantity_issue, taste_issue"
"Add Bacon to my Bowl",3,300,100,200,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,"quality_issue, taste_issue, quantity_issue, cooking_issue, wrong_food_issue"
"Add Bacon to my Burrito",3,100,300,0,0,0,100,0,0,0,0,0,0,100,0,100,0,0,0,"quantity_issue, quality_issue, price_issue, wrong_food_issue, missing_food_issue"
"The Hangover Bowl",1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,"quantity_issue, missing_food_issue"
"Add Breakfast Sausage to my Burrito",3,200,200,200,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,"quality_issue, quantity_issue, taste_issue, price_issue, missing_food_issue"
"Side of Hashbrowns",4,300,300,200,0,0,100,200,0,0,0,0,0,0,0,100,0,0,0,"quality_issue, quantity_issue, taste_issue, cooking_issue, price_issue, missing_food_issue"
"The Classic Breakfast Burrito",3,0,300,0,0,0,0,0,0,0,0,0,0,100,0,200,0,0,0,"quantity_issue, missing_food_issue, wrong_food_issue"
"SELECT PROTEIN: Bacon",3,150,200,150,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,"quantity_issue, quality_issue, taste_issue, missing_food_issue"
"The Classic Breakfast Bowl",6,350,300,150,100,0,300,200,0,0,0,0,0,0,0,100,0,0,100,"quality_issue, quantity_issue, price_issue, cooking_issue, taste_issue, packaging_issue, missing_food_issue, foreign_object_issue"
"The Basic B*tch Bowl",3,150,100,100,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,"quality_issue, quantity_issue, taste_issue, wrong_food_issue, missing_food_issue"
"SELECT PROTEIN: Breakfast Sausage",9,400,300,420,0,0,500,200,0,0,0,30,0,100,0,100,0,0,100,"price_issue, taste_issue, quality_issue, quantity_issue, cooking_issue, wrong_food_issue, missing_food_issue, foreign_object_issue, spice_issue"
"Orange Juice",3,100,100,0,100,0,100,0,0,0,0,0,0,0,0,100,0,0,0,"quality_issue, quantity_issue, packaging_issue, price_issue, missing_food_issue"
"Remove Cheese",1,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,"quantity_issue, price_issue"
"The Hangover Burrito",11,550,400,570,0,0,500,200,0,0,0,30,0,100,0,100,0,0,100,"taste_issue, quality_issue, price_issue, quantity_issue, cooking_issue, wrong_food_issue, missing_food_issue, foreign_object_issue, spice_issue"
"Side of Sausage Links (2 pieces)",1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,"wrong_food_issue, missing_food_issue"
"Side English Muffin",1,100,100,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,"quality_issue, quantity_issue, delivery_timing_issue, wrong_food_issue"
"Add Chicken",7,500,600,600,0,0,600,300,0,0,0,0,0,0,0,0,0,0,0,"quantity_issue, taste_issue, price_issue, quality_issue, cooking_issue"
"Fettuccine Alfredo",9,450,600,450,0,0,500,200,0,0,0,0,0,0,0,0,0,0,0,"quantity_issue, price_issue, quality_issue, taste_issue, cooking_issue"
"Spicy Penne alla Vodka",5,300,100,300,0,200,100,300,0,0,0,0,0,0,0,100,0,0,0,"quality_issue, taste_issue, cooking_issue, delivery_timing_issue, quantity_issue, price_issue, missing_food_issue"
"Side Salad",1,100,0,50,0,0,0,50,0,0,50,0,0,0,0,0,0,0,0,"quality_issue, taste_issue, cooking_issue, hardness_issue"
"Italian dressing",1,100,0,50,0,0,0,50,0,0,50,0,0,0,0,0,0,0,0,"quality_issue, taste_issue, cooking_issue, hardness_issue"
"Chicken Marsala with Fettuccine ",1,100,0,50,0,0,0,50,0,0,50,0,0,0,0,0,0,0,0,"quality_issue, taste_issue, cooking_issue, hardness_issue"
"Spaghetti Pomodoro",4,300,200,270,0,0,200,100,0,0,0,0,0,0,0,0,0,0,0,"quality_issue, taste_issue, quantity_issue, price_issue, cooking_issue"
"Chicken Limone with Cavatappi",3,200,300,300,0,0,300,100,0,0,0,0,0,0,0,0,0,0,0,"quantity_issue, taste_issue, price_issue, quality_issue, cooking_issue"
"Cavatappi with Creamy Pesto",4,50,100,150,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,"taste_issue, quantity_issue, delivery_timing_issue, price_issue, quality_issue"
"The Frenchy Meatball",3,100,100,0,0,0,200,0,0,0,0,0,0,0,0,100,0,0,0,"price_issue, quality_issue, quantity_issue, missing_food_issue"
"The Philly Style Meatball",1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,"quantity_issue, missing_food_issue"
"Side of White Toast",1,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"quality_issue, taste_issue"
"The Basic B*tch Burrito",2,200,100,100,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,"quality_issue, price_issue, quantity_issue, taste_issue"
"Side Bagel & Cream Cheese",5,250,200,100,100,0,100,100,0,0,0,0,0,100,0,100,0,0,0,"quality_issue, quantity_issue, taste_issue, packaging_issue, price_issue, cooking_issue, wrong_food_issue, missing_food_issue"
"Add Breakfast Sausage to my Bowl",3,250,200,150,0,0,300,100,0,0,0,0,0,0,0,0,0,0,100,"price_issue, quality_issue, quantity_issue, taste_issue, cooking_issue, foreign_object_issue"
"Remove Buffalo Sauce",2,0,100,100,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,"quantity_issue, taste_issue, price_issue, wrong_food_issue"
"Side of Bacon (2 Pieces)",2,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,"packaging_issue, missing_food_issue"
"Cheeky Parm",1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"quality_issue"
"Add Side of Meatballs in Marinara",1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,"delivery_timing_issue, missing_food_issue"
"Pop(@single_quotes@)s on Fire",1,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"quality_issue, taste_issue"
"Fries",1,100,100,100,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,"quality_issue, quantity_issue, taste_issue, price_issue, cooking_issue, freshness_issue"
"Yes, Please Include Cutlery",8,500,300,600,100,0,200,200,200,0,0,0,0,0,0,200,0,0,0,"taste_issue, quality_issue, quantity_issue, price_issue, cooking_issue, freshness_issue, missing_food_issue, packaging_issue"
"Grilled Chicken Breast",1,100,100,100,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,"quality_issue, quantity_issue, taste_issue, price_issue, cooking_issue, freshness_issue"
"Mozzarella",1,100,100,100,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,"quality_issue, quantity_issue, taste_issue, price_issue, cooking_issue, freshness_issue"
"Gluten Free Penne",2,200,100,200,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,"quality_issue, taste_issue, quantity_issue, price_issue, cooking_issue, freshness_issue"
"Roast Beet + Quinoa Salad",1,100,100,100,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,"quality_issue, quantity_issue, taste_issue, price_issue, cooking_issue, freshness_issue"
"Spaghetti Bolognese",1,100,100,100,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,"quality_issue, quantity_issue, taste_issue, price_issue, cooking_issue, freshness_issue"
"Rigatoni",1,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"quality_issue, taste_issue"
"Rigatoni Bolognese",1,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"quality_issue, taste_issue"
"Passion Fruit Iced Tea (16oz)",2,150,0,150,0,0,0,50,0,0,0,0,0,0,0,50,0,0,0,"quality_issue, taste_issue, cooking_issue, missing_food_issue"
"PB+J Cornflake French Toast",1,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"quality_issue, taste_issue"
"Tater Tots",1,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"quality_issue, taste_issue"
"Crispy Calamari",1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,"delivery_timing_issue"
"Signature Chop Salad",1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,"delivery_timing_issue"
"Grilled Artichoke",1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,"delivery_timing_issue"
"Signature Burger",1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,"delivery_timing_issue"
"Caesar Salad",2,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,"delivery_timing_issue, wrong_food_issue"
"Build Your Own Pizza 1Ft",1,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,"quality_issue, hygiene_issue"
"Truffle Fries",1,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"quality_issue, taste_issue"
"Corn Chowder With Chive + Bacon",1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,"wrong_food_issue"
"Chunky Beef + Potato Soup",1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,"wrong_food_issue"
"Spaghetti With Spicy Shrimp (5)",1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,"wrong_food_issue"
"Sausage Patty",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,"missing_food_issue"
"pbj dghnt frnch tst",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,"missing_food_issue"
"Canadian Bacon",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,"missing_food_issue"
"Coca Cola Can",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,"missing_food_issue"
"Blueberry Bread Pudding With Lemon Creme Anglaise",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,"missing_food_issue"
"Simply Orange OJ (11.9oz)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,"missing_food_issue"
"evrythng frnch tst",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,"missing_food_issue"
"frnch tst",1,50,0,50,0,0,0,50,0,0,0,0,0,0,0,50,0,0,0,"quality_issue, taste_issue, cooking_issue, missing_food_issue"
"No Cutlery Needed",3,250,0,50,0,0,0,50,0,0,0,0,0,200,0,50,0,0,0,"quality_issue, wrong_food_issue, taste_issue, cooking_issue, missing_food_issue"
"Banana",1,50,0,50,0,0,0,50,0,0,0,0,0,0,0,50,0,0,0,"quality_issue, taste_issue, cooking_issue, missing_food_issue"
"Blackberry Preserve",1,50,0,50,0,0,0,50,0,0,0,0,0,0,0,50,0,0,0,"quality_issue, taste_issue, cooking_issue, missing_food_issue"
"Chicken Caesar Salad",1,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"quality_issue, taste_issue"
"Truffled Mushroom + Potato Pizza 1Ft",1,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,"quality_issue, hardness_issue"
"The Cajun Cluck",2,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,"delivery_timing_issue, missing_food_issue"
"Add Bacon",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,"missing_food_issue"
"Apple Juice",1,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,"taste_issue, price_issue"
"Bacon Cheeseburger Philly",1,100,0,100,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,"quality_issue, taste_issue, cooking_issue, hardness_issue"
"Remove Tomato",1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,"delivery_timing_issue"
"Cheeky Small Flock Combo",1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,"quantity_issue, missing_food_issue"
"Sizzling Grilled fresh small lamb kebabs (5 skewers)",1,100,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,"quality_issue, cooking_issue, wrong_food_issue"
"Juicy Grilled Fish Set",1,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"quality_issue, taste_issue"
"Massively Delicious Grilled Oysters (from 2 pcs)",1,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"quality_issue, taste_issue"
"Strict Grilled Beef Ribs (2 Skewers)",1,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"quality_issue, taste_issue"
"Three fresh dumplings (12pcs)",1,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"quality_issue, taste_issue"
"Diet Coke Can",1,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,"quality_issue, wrong_food_issue"
"Steak And Black Bean Breakfast Wrap",1,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,"quality_issue, wrong_food_issue"
"Smothered PBJ Pancakes",1,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,"quality_issue, wrong_food_issue"
"20 Pcs All Natural Wings",1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,"delivery_timing_issue"
"Lemon Herb Aioli 3 oz",1,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"quantity_issue, taste_issue, packaging_issue"
"12 Pcs All Natural Wings",1,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"quantity_issue, taste_issue, packaging_issue"
"Mashed Potato",1,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"quantity_issue, taste_issue, packaging_issue"
"Mango Habanero",1,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"quantity_issue, taste_issue, packaging_issue"
"Crepes Pancakes Classique",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,"missing_food_issue"
