"Outlet ID","Issue Items","Quality Issue","Quantity Issue","Taste Issue","Packaging Issue","Delivery Timing Issue","Price Issue","Cooking Issue","Freshness Issue","Staleness Issue","Hardness Issue","Spice Issue","Temperature Issue","Wrong Food Issue","Hygiene Issue","Missing Food Issue","Oiliness Issue","Out of Stock Issue","Foreign Object Issue","Top Issues"
"P0082","Pop(@single_quotes@)s Original",100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,"quality_issue, wrong_food_issue"
"P0181","The Wake n(@single_quotes@) Bake Burrito, Side of Cheese Sauce, The Wake n(@single_quotes@) Bake Bowl, Add Bacon to my Bowl, Add Bacon to my Burrito, The Hangover Bowl, Add Breakfast Sausage to my Burrito, Side of Hashbrowns, The Classic Breakfast Burrito, SELECT PROTEIN: Bacon, The Classic Breakfast Bowl, The Basic B*tch Bowl, SELECT PROTEIN: Breakfast Sausage, Orange Juice, Remove Cheese, The Hangover Burrito, Side of Sausage Links (2 pieces), Side English Muffin",400,400,200,0,100,200,0,0,0,0,0,0,400,100,200,0,0,100,"quality_issue, quantity_issue, wrong_food_issue, taste_issue, price_issue, missing_food_issue, delivery_timing_issue, hygiene_issue, foreign_object_issue"
"P0182","Add Chicken, Fettuccine Alfredo, Coca-Cola, Spicy Penne alla Vodka, Side of Fries, Side Salad, Italian dressing, Chicken Marsala with Fettuccine ",300,200,250,0,0,200,150,0,0,50,0,0,0,0,0,0,0,0,"quality_issue, taste_issue, quantity_issue, price_issue, cooking_issue, hardness_issue"
"P0202","Spaghetti Pomodoro, Fettuccine Alfredo, Add Chicken, Coca-Cola, Chicken Limone with Cavatappi, Cavatappi with Creamy Pesto, Spicy Penne alla Vodka",200,200,170,0,100,200,100,0,0,0,0,0,0,0,0,0,0,0,"quality_issue, quantity_issue, price_issue, taste_issue, delivery_timing_issue, cooking_issue"
"P0203","The Frenchy Meatball, The Philly Style Meatball, Side of Onion Rings",0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,"quantity_issue, missing_food_issue"
"P0271","SELECT PROTEIN: Breakfast Sausage, The Hangover Burrito, Side of Cheese Sauce, The Wake n(@single_quotes@) Bake Burrito, The Wake n(@single_quotes@) Bake Bowl, SELECT PROTEIN: Bacon, Side of White Toast, Side of Hashbrowns, Add Bacon to my Bowl, The Classic Breakfast Bowl, The Basic B*tch Burrito, Add Breakfast Sausage to my Burrito, Orange Juice, Side Bagel & Cream Cheese, Add Breakfast Sausage to my Bowl, Add Bacon to my Burrito, The Classic Breakfast Burrito, Remove Buffalo Sauce",700,600,420,0,0,400,200,0,0,0,30,0,300,0,100,0,0,0,"quality_issue, quantity_issue, taste_issue, price_issue, wrong_food_issue, cooking_issue, missing_food_issue, spice_issue"
"P0142","The Mac n(@single_quotes@) Meatball",100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"quality_issue, quantity_issue"
"P0131","Side of Mac n(@single_quotes@) Cheese Wedges, Side of Ranch, The Philly , The Cheesehead, Add Extra white American cheese",200,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,"quality_issue, temperature_issue, wrong_food_issue"
"P0031","Only Me Combo",0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,"delivery_timing_issue, hardness_issue, missing_food_issue"
"P0201","The Classic Breakfast Bowl, SELECT PROTEIN: Breakfast Sausage, Add Breakfast Sausage to my Bowl, The Hangover Burrito, The Basic B*tch Bowl, Side of Cheese Sauce, Side Bagel & Cream Cheese",100,0,50,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,"quality_issue, price_issue, foreign_object_issue, taste_issue"
"P0152","The Frenchy Meatball",100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,"quality_issue, price_issue"
"P0252","Spicy Penne alla Vodka, Add Chicken, Fettuccine Alfredo, Chicken Limone with Cavatappi",200,200,200,0,0,200,100,0,0,0,0,0,0,0,0,0,0,0,"quality_issue, quantity_issue, taste_issue, price_issue, cooking_issue"
"P0231","Side Bagel & Cream Cheese, Side of Bacon (2 Pieces), The Classic Breakfast Bowl, Orange Juice",0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"packaging_issue"
"P0083","Cheeky Parm",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"quality_issue"
"P0272","Spicy Penne alla Vodka, Add Side of Meatballs in Marinara, Cavatappi with Creamy Pesto, Fettuccine Alfredo",150,100,150,0,100,0,100,0,0,0,0,0,0,0,100,0,0,0,"quality_issue, taste_issue, quantity_issue, delivery_timing_issue, cooking_issue, missing_food_issue"
"P0293","Pop(@single_quotes@)s on Fire, Frings (half fries, half onion rings)",100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"quality_issue, taste_issue"
"P0312","Fries, Yes, Please Include Cutlery, Grilled Chicken Breast, Mozzarella, Gluten Free Penne, Brownie, Roast Beet + Quinoa Salad, Spaghetti Bolognese, Rigatoni, Rigatoni Bolognese",200,100,200,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,"quality_issue, taste_issue, quantity_issue, price_issue, cooking_issue, freshness_issue"
"P03110","Passion Fruit Iced Tea (16oz), PB+J Cornflake French Toast, Tater Tots, Yes, Please Include Cutlery, Crispy Calamari, Signature Chop Salad, Grilled Artichoke, Signature Burger, Caesar Salad, Build Your Own Pizza 1Ft, Truffle Fries, Spaghetti Pomodoro, Gluten Free Penne, Corn Chowder With Chive + Bacon, Chunky Beef + Potato Soup, Spaghetti With Spicy Shrimp (5)",300,0,200,0,100,0,0,0,0,0,0,0,100,100,0,0,0,0,"quality_issue, taste_issue, delivery_timing_issue, wrong_food_issue, hygiene_issue"
"P03141","Yes, Please Include Cutlery, Sausage Patty, pbj dghnt frnch tst, Canadian Bacon, Coca Cola Can, Blueberry Bread Pudding With Lemon Creme Anglaise, Simply Orange OJ (11.9oz), evrythng frnch tst, frnch tst, No Cutlery Needed, Passion Fruit Iced Tea (16oz), Banana, Blackberry Preserve",50,0,50,0,0,0,50,0,0,0,0,0,0,0,150,0,0,0,"missing_food_issue, quality_issue, taste_issue, cooking_issue"
"P03125","Chicken Caesar Salad",100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"quality_issue, taste_issue"
"P03135","Truffled Mushroom + Potato Pizza 1Ft",100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,"quality_issue, hardness_issue"
"P0241","Cookie, Side of Onion Rings, The Cajun Cluck, Add Bacon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,"missing_food_issue"
"P0292","Apple Juice, Remove Buffalo Sauce, The Hangover Burrito, SELECT PROTEIN: Breakfast Sausage",0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,"taste_issue, price_issue"
"P0301","Bacon Cheeseburger Philly, Frings (half fries, half onion rings), Side of Ranch, Side of Ketchup",100,0,100,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,"quality_issue, taste_issue, cooking_issue, hardness_issue"
"P0053","The Cajun Cluck, Side of Fries, Side of Ketchup, Remove Tomato, Cheeky Small Flock Combo",0,100,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,"quantity_issue, delivery_timing_issue, missing_food_issue"
"P0021","The Cheesehead, Side of Onion Rings, Side of Ranch, Remove Sauerkraut",100,0,100,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,"quality_issue, taste_issue, delivery_timing_issue, wrong_food_issue"
"P0242","Side of Fries, Side of Onion Rings, Provolone Cheese, Side of Ketchup, BYO Cheesesteak",100,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,"quality_issue, quantity_issue, price_issue"
"P0052","Pop(@single_quotes@)s Combo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,"missing_food_issue"
"P0273","Pop(@single_quotes@)s Combo",50,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,"delivery_timing_issue, temperature_issue, quality_issue"
"P0183","Pop(@single_quotes@)s Combo, The Frenchy Meatball, Frings (half fries, half onion rings), Coca-Cola",0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,"delivery_timing_issue, price_issue"
"P0281","Sizzling Grilled fresh small lamb kebabs (5 skewers)",100,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,"quality_issue, cooking_issue, wrong_food_issue"
"P0112","Pop(@single_quotes@)s Original, Side of Ranch",50,100,0,0,0,100,0,0,0,0,0,50,0,0,0,0,0,0,"quantity_issue, price_issue, quality_issue, temperature_issue"
"P0232","Side of Fries, Cavatappi with Creamy Pesto, Side of Cheese Sauce, Add Chicken, Chicken Limone with Cavatappi",0,100,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,"quantity_issue, taste_issue, price_issue"
"P0282","Juicy Grilled Fish Set, Massively Delicious Grilled Oysters (from 2 pcs), Strict Grilled Beef Ribs (2 Skewers), Three fresh dumplings (12pcs)",100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"quality_issue, taste_issue"
"P0251","SELECT PROTEIN: Breakfast Sausage, Side of Bacon (2 Pieces), The Hangover Burrito",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,"missing_food_issue"
"P03136","Diet Coke Can, No Cutlery Needed, Steak And Black Bean Breakfast Wrap, Smothered PBJ Pancakes",100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,"quality_issue, wrong_food_issue"
"P0313","20 Pcs All Natural Wings, Lemon Herb Aioli 3 oz, 12 Pcs All Natural Wings, Yes, Please Include Cutlery, Mashed Potato, Mango Habanero",0,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,"quantity_issue, taste_issue, packaging_issue, delivery_timing_issue"
"P0316","Crepes Pancakes Classique",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,"missing_food_issue"
